experience,education,skills
Senior nurse grade ll,Diploma-Other Diploma ,"Interpersonal Abilities,
Critical care of patient, Icu Care, Icu Nurse, Medical Icu
"
Intensive care unit as a staff nurse,Diploma-Other Diploma ,"
Staff nurse
"
Nurse,Diploma-Other Diploma ,"
Occupational Health Nurse
"
Charge nurse,Diploma-Other Diploma ,"Management Proficiency, Planning/Organizing, Interpersonal Abilities,
ACLS, ICU
"
"staff nurse, male nurse",Diploma-Other Diploma ,"Management Proficiency, Interpersonal Abilities, Teamwork,
dca
"
"staff nurse, staff nurse",12th  &  Not Pursuing Graduation ,"Planning/Organizing,
CORRESPONDENCE, PASSPORT, SEC, TELEPHONE
"
"staff nurse, STAFF NURSE",Diploma-Other Diploma ,"Interpersonal Abilities, Planning/Organizing, Management Proficiency,
Staff Nurse, Emergency Room, Ambulance service
"
"Registered Nurse, Ward Incharge",Diploma-Other Diploma ,"Interpersonal Abilities, Management Proficiency, Leadership Proficiency,
Registered Nurse
"
"Critical care nurse, Staff nurse",Diploma-Other Diploma ,"
Staff Nurse, Patient Care Technician, , Critical Care, Ctvs
"
"STAFF NURSE, Clinical specialist",Diploma-Other Diploma ,"Interpersonal Abilities, Planning/Organizing,
Nurse Case Manager, Clinical specialist, Wound Care
"
"Nurse, Thermal screening assistant",Diploma-Other Diploma ,"Technical Proficiency, Teamwork, Planning/Organizing,
Registered Nurse
"
"Senior Nurse, Senior Male Nurse",Diploma-Other Diploma ,"
Staff Nurse
"
"Staff nurse, ICU STAFF NURSE",B.Sc.  ( Science )  ,"
Icu Nurse
"
Company Nurse ( Male Nurse ) / Compounder,Diploma-Other Diploma ,"
Nurse in Shree cement Limited Beawar 9 yrs exp
"
OT Scrub nurse,Diploma-Other Diploma ,"
I am searching job for the post staff nurse in industry and company
"
Staff nurse,B.Sc.  ( Science )  ,"
Hospital Management, Nursing Administration, Nurse Practitioner, Nurse
"
Staff Nurse,"BA  ( Arts )  , MA  ( Arts ) 
                  	
	                  	
	                       		2013
	                    
                    	","
Occupational Health Nurse, Hms, Healthcare, Csr, Emergency Nursing, Medical
"
"Nurse Educator, Coordinator",B.Sc.  ( Science )  ,"Management Proficiency, Training/Mentoring, Planning/Organizing,
Registered nurse
"
RN STAFF NURSE,Other School /  Graduation ,"
Staff nurse ICU
"
Male Nurse,"B.Sc.  ( Science )  , Other Post Graduation
                  	
	                  	
	                       		2016
	                    
                    	","
Patient Care, Team Work, Communication Skills
"
"staff nurse, Senior staff nurse",Diploma-Other Diploma ,"
staff nurse and dca
"
"Staff Nurse 2, Senior staff Nurse",B.Sc.  ( Science )  ,"Technical Proficiency, Interpersonal Abilities, Analytical Proficiency,
, Operating room nurse
"
"Staff nurse ( ICN ) , Asst.Nursing Superintend",Other School /  Graduation ,"Interpersonal Abilities, Research Proficiency, Teamwork,
CTICU & EMARGENCE, maintain the hospital infection control roles and responsibilities, check regularly and daily the emergency drugs and resuscitations equipments., planning and monitoring, audits and feedback surveillance of hai ( health care associated infection ) laundry and linen management in icu and wards., providing higher standard of nursing care to the client
"
"STAFF MALE NURSE, STAFF MALE NURSE",Diploma-Languages ,"Interpersonal Abilities, Planning/Organizing, Research Proficiency,
helth care, Male Nurse
"
ICU Staff Nurse,B.Sc.  ( Science )  ,"
Emergency Care, Emergency Department, Emergency Handling, Licensed Practical Nurse, Male Nurse, Registered Nurse, Nurse Rn, Emergency Nursing, Staff Nurse
"
Scrub nurse,Diploma-Other Diploma ,"Management Proficiency, Creative Proficiency, Analytical Proficiency,
Staff nurse
"
"Nurse Supervisor, Staff nurse",B.Sc.  ( Science )  ,"Interpersonal Abilities, Technical Proficiency, Management Proficiency,
staff nurse.
"
Bsc male nurse,"Other Post Graduation
                  	
	                  	
                    	","Planning/Organizing, Management Proficiency, Analytical Proficiency,
bsc male staff nurse
"
"Occupational Health Nurse, Occupational Health Nurse",Diploma-Other Diploma ,"Planning/Organizing, Technical Proficiency, Teamwork,
Staff Nurse, Occupational Health Nurse
"
"OR staff nurse, staff nurse",Diploma-Other Diploma ,"Interpersonal Abilities, Planning/Organizing, Technical Proficiency,
patient care, good communication, palliative care etc..
"
Registered nurse,B.Sc.  ( Science )  ,"
basic life support, Infection Control, assisting all general life saving procedures, Medication Administration, care planning, Computer Operating, good skill in communication
"
Icu staff nurse,Diploma-Other Diploma ,"
nursing staff, nurse, Nurse Consultant, Licensed Practical Nurse, Dental Nurse, Nurse Practitioner, Occupational Health Nurse, Nurse Case Manager, Nurse Rn, Staff Nurse, Registered Nurse, Industrial Nurse, Icu Nurse, Male Nurse, Nurse Assistant
"
Nurse Educator,Other School /  Graduation ,"
Nursing Education, nursing induction, Nursing Administration, Infection Control, life support instructor
"
NICU STAFF NURSE & ICU STAFF,Diploma-Other Diploma ,"
Neonatal Resuscitation, Icu Nurse
"
"Sr Nurse- OHC, Staff Nurse",B.Sc.  ( Science )  ,"
Organize and schedule periodical clinical check on employees. Counsel and educate employees on occupational safety procedures. Initiate and strategize occupational health nurse systems at a workplace. Coordinate with the management to implement health safety programs for employees. Maintain and manage all records relating to occupational health nursing issues. Provide nursing or clinical treatment to employees with injuries and or illnesses. Initiate safety processes in the overall well-being of employees at a workplace setting. Maintaining All OHC registers ( online & offline. )
"
Occupational health nurse,B.Sc.  ( Science )  ,"
Occupational Health Nurse
"
"Wound care Nurse / OT nurse , Staff nurse",Other School /  Graduation ,"Interpersonal Abilities, Research Proficiency, Communication Proficiency,
Pediatrics ward, Emergency Department, Pre and Post Anesthesia, labour ward, Intensive Care Units, OT nurse, OT nurse with wound care nurse in kokilaben dhirubhai ambani hospital
"
Staff male nurse,Diploma-Other Diploma ,"
Registered Nurse
"
"Nurse educator , Staff nurse",Diploma-Other Diploma ,"
Work as critical care nurse and presently working in surya hospital
"
Assistant Nurse,Diploma-Other Diploma ,"
Computer Operator
"
Female Staff Nurse,"Interpersonal Abilities, Creative Proficiency, Planning/Organizing,","
Staff Nurse, General Nursing and Midwifery, GNM, Licensed Practical Nurse
"
"Nurse Manager , incharge nurse",B.Sc.  ( Science )  ,"Management Proficiency, Interpersonal Abilities, Planning/Organizing,
AP, ASEPTIC, BONE MARROW, C, CARDIAC, CASES, CPR, CRITICAL CARE, DRAINAGE, INVENTORY, IRRIGATION, PASSPORT, PUMPS, REGISTERED NURSE, RM, RN, RN /, SAMPLING, TEACHING, THERAPEUTIC, THERAPY, VENIPUNCTURE, WOUND CARE
"
Male staff nurse,Diploma-Other Diploma ,"
Team Work, Patient Care, Patient Safety, Time Management, , Infection Control, Infectious Disease
"
Registered Nurse,Diploma-Other Diploma ,"Teamwork, Management Proficiency, Training/Mentoring,
BONE MARROW, DENTAL, DRAINAGE, REGISTERED NURSE, VASCULAR, I have good experience in Operation Theater
"
Registered Nurse,B.Sc.  ( Science )  ,"Interpersonal Abilities, Research Proficiency, Communication Proficiency,
Ward Management, Nurse Practitioner, Registered Nurse
"
"Staff nurse ot, Staff nurse OT",B.Sc.  ( Science )  ,"Interpersonal Abilities, Accomplishments, Technical Proficiency,
, Staff nurse
"
"Assistant Manager Staff Nurse, charge nurse",Diploma-Other Diploma ,"Interpersonal Abilities, Planning/Organizing, Communication Proficiency,
Nurse Case Manager
"
"Pain management nurse+infection control nurse, Staff Nurse",B.Sc.  ( Science )  ,"
Pain Management, infection control nurse
"
"Translator, Language Teacher","BA  ( Arts )  , PG Diploma
                  	
	                  	
	                       		2020
	                    
                    	","
Translator, Interpreter, Proof Reading, Content Writing
"
Academic Translator,"MA  ( Arts ) 
                  	
	                  	
	                       		2019
	                    
                    	","
academic translator, academic validator
"
Freelance Translator,"BA  ( Arts )  , MA  ( Arts ) 
                  	
	                  	
	                       		2016
	                    
                    	","
Foreign Languages, Translator, Arabic Translation, Translation, Language Expert
"
Japanese Translator,BA  ( Arts )  ,"Interpersonal Abilities, Training/Mentoring, Research Proficiency,
Interpreter, language expert, Language Specialist, Translator
"
French language translator and teacher,"Other Post Graduation
                  	
	                  	
                    	","
French Teacher, French translator
"
"Translator- Malayalam- English , Hindi, implementation support engineer",BE /  B.Tech  ( Engineering )  ,"Interpersonal Abilities, Technical Proficiency, Planning/Organizing,
electronics, electronics engineering
"
"German tutor and translator, .net trainer","B.Sc.  ( Science )  , M.Sc.  ( Science ) 
                  	
	                  	
	                       		2005
	                    
                    	","
german translation, Technical Writing, Manual Testing
"
"Translator, Dy.manager",B.Sc.  ( Science )  ,"Accomplishments, Technical Proficiency, Communication Proficiency,
Translator, Interpreter, Transcription, Proof Reading, Editing, Content Writing
"
"Quality Chinese Translator, Chinese language expert in quality management",BCA  ( Computer Application )  ,"
Quality management, Production management
"
"FRENCH TRANSLATOR.TEACHER, french teacher","Other School /  Graduation , MA  ( Arts ) 
                  	
	                  	
	                       		1997
	                    
                    	","Interpersonal Abilities, Management Proficiency, Creative Proficiency,
english-french
"
"Project Manager , Senior QA and Translator","BE /  B.Tech  ( Engineering )  , PG Diploma
                  	
	                  	
	                       		2013
	                    
                    	","Communication Proficiency, Research Proficiency, Management Proficiency,
Film Direction, Film Maker, Screenplay, television production, pre-production, short films, feature films, screenwriting, film production, Advertising, Translator, Content Writer, Writer, content developer, Hindi Typing, English Typing, subtitler
"
